['pVA2067_2', 'pVA791_75']
['pVA2067_45', 'pVA2067_4']
['pVA2067_45', 'pVA2464_160']
['pVA2067_45', 'pVA2464_46']
['pVA2067_45', 'pVA2464_5']
['pVA2067_45', 'pVA2464_7']
['pVA2067_45', 'pVA2588_5']
['pVA2067_45', 'pVA2588_87']
['pVA2067_45', 'pVA2589_21']
['pVA2067_45', 'pVA2589_86']
['pVA2067_45', 'pVA2589_99']
['pVA2067_45', 'pVA2682_199']
['pVA2067_45', 'pVA2682_52']
['pVA2067_45', 'pVA2682_9']
['pVA2067_45', 'pVA2817_112']
['pVA2067_45', 'pVA2817_162']
['pVA2067_45', 'pVA2817_1']
['pVA2067_45', 'pVA2817_210']
['pVA2067_45', 'pVA2817_5']
['pVA2067_45', 'pVA2817_6']
['pVA2067_45', 'pVA3495_148']
['pVA2067_45', 'pVA3495_29']
['pVA2067_45', 'pVA3495_318']
['pVA2067_45', 'pVA3495_43']
['pVA2067_45', 'pVA3495_4']
['pVA2067_45', 'pVA418_110']
['pVA2067_45', 'pVA418_180']
['pVA2067_45', 'pVA418_38']
['pVA2067_45', 'pVA418_56']
['pVA2067_45', 'pVA436_0.1']
['pVA2067_45', 'pVA436_1']
['pVA2067_45', 'pVA436_2_A']
['pVA2067_45', 'pVA436_2_B']
['pVA2067_45', 'pVA436_41']
['pVA2067_45', 'pVA436_52']
['pVA2067_45', 'pVA436_54']
['pVA2067_45', 'pVA524_189']
['pVA2067_45', 'pVA524_199']
['pVA2067_45', 'pVA524_46']
['pVA2067_45', 'pVA524_4_A']
['pVA2067_45', 'pVA524_4_B']
['pVA2067_45', 'pVA524_58']
['pVA2067_45', 'pVA524_5']
['pVA2067_45', 'pVA527_214']
['pVA2067_45', 'pVA527_3']
['pVA2067_45', 'pVA527_45']
['pVA2067_45', 'pVA527_58']
['pVA2067_45', 'pVA528_281']
['pVA2067_45', 'pVA528_2']
['pVA2067_45', 'pVA528_44']
['pVA2067_45', 'pVA528_96']
['pVA2067_45', 'pVA544_3']
['pVA2067_45', 'pVA544_51']
['pVA2067_45', 'pVA544_8']
['pVA2067_45', 'pVA569_107']
['pVA2067_45', 'pVA569_47']
['pVA2067_45', 'pVA569_68']
['pVA2067_45', 'pVA585_226']
['pVA2067_45', 'pVA585_53']
['pVA2067_45', 'pVA605_296']
['pVA2067_45', 'pVA605_65']
['pVA2067_45', 'pVA605_91']
['pVA2067_45', 'pVA61_126']
['pVA2067_45', 'pVA61_57']
['pVA2067_45', 'pVA634_102']
['pVA2067_45', 'pVA634_25']
['pVA2067_45', 'pVA634_271']
['pVA2067_45', 'pVA634_2']
['pVA2067_45', 'pVA634_3']
['pVA2067_45', 'pVA634_4']
['pVA2067_45', 'pVA634_54']
['pVA2067_45', 'pVA634_6']
['pVA2067_45', 'pVA634_75']
['pVA2067_45', 'pVA692_270']
['pVA2067_45', 'pVA692_2']
['pVA2067_45', 'pVA692_45']
['pVA2067_45', 'pVA692_4']
['pVA2067_45', 'pVA754_184']
['pVA2067_45', 'pVA754_27']
['pVA2067_45', 'pVA754_3']
['pVA2067_45', 'pVA754_4']
['pVA2067_45', 'pVA754_57']
['pVA2067_45', 'pVA754_5']
['pVA2067_45', 'pVA754_9']
['pVA2067_45', 'pVA765_0.7']
['pVA2067_45', 'pVA765_1_A']
['pVA2067_45', 'pVA765_1_B']
['pVA2067_45', 'pVA765_275']
['pVA2067_45', 'pVA765_45']
['pVA2067_45', 'pVA765_4_A']
['pVA2067_45', 'pVA765_4_B']
['pVA2067_45', 'pVA765_72']
['pVA2067_45', 'pVA765_74']
['pVA2067_45', 'pVA767_225']
['pVA2067_45', 'pVA767_46']
['pVA2067_45', 'pVA767_57']
['pVA2067_45', 'pVA791_17']
['pVA2067_45', 'pVA791_270']
['pVA2067_45', 'pVA791_4']
['pVA2067_45', 'pVA791_57']
['pVA2067_45', 'pVA791_75']
['pVA2067_4', 'pVA2464_160']
['pVA2067_4', 'pVA2464_46']
['pVA2067_4', 'pVA2464_5']
['pVA2067_4', 'pVA2464_7']
['pVA2067_4', 'pVA2588_5']
['pVA2067_4', 'pVA2588_87']
['pVA2067_4', 'pVA2589_21']
['pVA2067_4', 'pVA2589_86']
['pVA2067_4', 'pVA2589_99']
['pVA2067_4', 'pVA2682_199']
['pVA2067_4', 'pVA2682_52']
['pVA2067_4', 'pVA2682_9']
['pVA2067_4', 'pVA2817_112']
['pVA2067_4', 'pVA2817_162']
['pVA2067_4', 'pVA2817_1']
['pVA2067_4', 'pVA2817_210']
['pVA2067_4', 'pVA2817_5']
['pVA2067_4', 'pVA2817_6']
['pVA2067_4', 'pVA3495_148']
['pVA2067_4', 'pVA3495_29']
['pVA2067_4', 'pVA3495_318']
['pVA2067_4', 'pVA3495_43']
['pVA2067_4', 'pVA3495_4']
['pVA2067_4', 'pVA418_110']
['pVA2067_4', 'pVA418_180']
['pVA2067_4', 'pVA418_38']
['pVA2067_4', 'pVA418_56']
['pVA2067_4', 'pVA436_0.1']
['pVA2067_4', 'pVA436_1']
['pVA2067_4', 'pVA436_2_A']
['pVA2067_4', 'pVA436_2_B']
['pVA2067_4', 'pVA436_41']
['pVA2067_4', 'pVA436_52']
['pVA2067_4', 'pVA436_54']
['pVA2067_4', 'pVA524_189']
['pVA2067_4', 'pVA524_199']
['pVA2067_4', 'pVA524_46']
['pVA2067_4', 'pVA524_4_A']
['pVA2067_4', 'pVA524_4_B']
['pVA2067_4', 'pVA524_58']
['pVA2067_4', 'pVA524_5']
['pVA2067_4', 'pVA527_214']
['pVA2067_4', 'pVA527_3']
['pVA2067_4', 'pVA527_45']
['pVA2067_4', 'pVA527_58']
['pVA2067_4', 'pVA528_281']
['pVA2067_4', 'pVA528_2']
['pVA2067_4', 'pVA528_44']
['pVA2067_4', 'pVA528_96']
['pVA2067_4', 'pVA544_3']
['pVA2067_4', 'pVA544_51']
['pVA2067_4', 'pVA544_8']
['pVA2067_4', 'pVA569_107']
['pVA2067_4', 'pVA569_47']
['pVA2067_4', 'pVA569_68']
['pVA2067_4', 'pVA585_226']
['pVA2067_4', 'pVA585_53']
['pVA2067_4', 'pVA605_296']
['pVA2067_4', 'pVA605_65']
['pVA2067_4', 'pVA605_91']
['pVA2067_4', 'pVA61_126']
['pVA2067_4', 'pVA61_57']
['pVA2067_4', 'pVA634_102']
['pVA2067_4', 'pVA634_25']
['pVA2067_4', 'pVA634_271']
['pVA2067_4', 'pVA634_2']
['pVA2067_4', 'pVA634_3']
['pVA2067_4', 'pVA634_4']
['pVA2067_4', 'pVA634_54']
['pVA2067_4', 'pVA634_6']
['pVA2067_4', 'pVA634_75']
['pVA2067_4', 'pVA692_270']
['pVA2067_4', 'pVA692_2']
['pVA2067_4', 'pVA692_45']
['pVA2067_4', 'pVA692_4']
['pVA2067_4', 'pVA754_184']
