	Plasmid	Block_ID	Start	End
pIH290_0.23~pIH290_84	pIH290_0.23	1	1	238
	pIH290_84	2	1	1986
	pIH290_84	-1	1986	2223
	pIH290_84	3	2223	84302
pIH290_0.23~pIH359_178	pIH290_0.23	1	1	238
	pIH359_178	2	1	69282
	pIH359_178	-1	69282	69519
	pIH359_178	3	69519	178473
pIH290_0.23~pIH359_23	pIH290_0.23	1	1	238
	pIH359_23	2	1	8240
	pIH359_23	1	8240	8477
	pIH359_23	3	8477	23282
pIH290_0.23~pIH359_51	pIH290_0.23	1	1	238
	pIH359_51	2	1	34979
	pIH359_51	1	34979	35216
	pIH359_51	3	35216	51775
pIH290_0.23~pReSeq_VA61_41	pIH290_0.23	1	1	238
	pReSeq_VA61_41	2	1	20885
	pReSeq_VA61_41	1	20885	21122
	pReSeq_VA61_41	3	21122	41302
pIH290_0.23~pVA1046_199	pIH290_0.23	1	1	238
	pVA1046_199	2	1	77381
	pVA1046_199	1	77381	77618
	pVA1046_199	3	77618	199032
pIH290_0.23~pVA1184_286	pIH290_0.23	1	1	238
	pVA1184_286	2	1	113411
	pVA1184_286	-1	113411	113648
	pVA1184_286	3	113648	286941
pIH290_0.23~pVA1393_58	pIH290_0.23	1	1	238
	pVA1393_58	2	1	37292
	pVA1393_58	1	37292	37529
	pVA1393_58	3	37529	58136
pIH290_0.23~pVA1505_61	pIH290_0.23	1	1	238
	pVA1505_61	2	1	37534
	pVA1505_61	-1	37534	37771
	pVA1505_61	3	37771	61210
pIH290_0.23~pVA1565_200	pIH290_0.23	1	1	238
	pVA1565_200	2	1	78707
	pVA1565_200	1	78707	78944
	pVA1565_200	3	78944	200358
pIH290_0.23~pVA1626_57	pIH290_0.23	1	1	238
	pVA1626_57	2	1	33865
	pVA1626_57	-1	33865	34102
	pVA1626_57	3	34102	57541
pIH290_0.23~pVA1626_87	pIH290_0.23	1	1	238
	pVA1626_87	2	1	1986
	pVA1626_87	-1	1986	2223
	pVA1626_87	3	2223	87759
pIH290_0.23~pVA1686_57	pIH290_0.23	1	1	238
	pVA1686_57	2	1	33865
	pVA1686_57	-1	33865	34102
	pVA1686_57	3	34102	57541
