	Plasmid	Block_ID	Start	End
pVA524_4_A~pVA765_4_A	pVA524_4_A	1	1	2268
	pVA524_4_A	3	2268	4777
	pVA524_4_A	2	4777	4996
	pVA765_4_A	4	1	1397
	pVA765_4_A	2	1397	1615
	pVA765_4_A	1	1615	3871
	pVA765_4_A	5	3871	4666
pVA524_4_A~pVA791_4	pVA524_4_A	1	1	419
	pVA524_4_A	2	419	2268
	pVA524_4_A	4	2268	4777
	pVA524_4_A	3	4777	4996
	pVA791_4	2	1	1841
	pVA791_4	5	1841	4032
	pVA791_4	3	4032	4250
	pVA791_4	1	4250	4666
pVA524_4_B~pVA569_68	pVA524_4_B	1	1	908
	pVA524_4_B	3	908	2336
	pVA524_4_B	2	2336	4067
	pVA569_68	4	1	1647
	pVA569_68	-1	1647	2554
	pVA569_68	-2	2561	4331
	pVA569_68	5	4331	6872
pVA524_4_B~pVA634_6	pVA524_4_B	1	1	908
	pVA524_4_B	3	908	2336
	pVA524_4_B	2	2336	4067
	pVA634_6	4	1	315
	pVA634_6	-1	315	1222
	pVA634_6	-2	1229	2999
	pVA634_6	5	2999	6872
pVA524_4_B~pVA692_4	pVA524_4_B	1	1	412
	pVA524_4_B	4	412	734
	pVA524_4_B	2	734	940
	pVA524_4_B	5	940	2368
	pVA524_4_B	3	2368	4074
	pVA692_4	6	1	610
	pVA692_4	-2	610	816
	pVA692_4	7	816	1147
	pVA692_4	-1	1147	1558
	pVA692_4	-3	1558	3255
	pVA692_4	8	3255	4854
pVA524_4_B~pVA765_4_A	pVA524_4_B	1	1	1061
	pVA524_4_B	3	1061	2479
	pVA524_4_B	2	2479	4074
	pVA765_4_A	4	1	1308
	pVA765_4_A	2	1308	2909
	pVA765_4_A	1	2909	3969
	pVA765_4_A	5	3969	4666
pVA524_4_B~pVA791_4	pVA524_4_B	1	1	1061
	pVA524_4_B	4	1061	2479
	pVA524_4_B	2	2479	3194
	pVA524_4_B	3	3194	4074
	pVA791_4	3	1	879
	pVA791_4	1	879	1939
	pVA791_4	5	1939	3943
	pVA791_4	2	3943	4666
pVA524_58~pVA527_58	pVA524_58	1	1	58133
	pVA527_58	1	1	58137
pVA524_58~pVA528_44	pVA524_58	1	1	768
	pVA524_58	2	768	1639
	pVA524_58	2	1288	2268
	pVA524_58	3	2268	3251
	pVA524_58	5	3251	16359
	pVA524_58	4	16359	58133
	pVA528_44	1	1	768
	pVA528_44	2	768	1528
	pVA528_44	3	1528	2659
	pVA528_44	4	2651	44428
pVA524_58~pVA544_3	pVA524_58	2	1	35125
	pVA524_58	1	35125	35459
	pVA524_58	3	35459	58133
	pVA544_3	1	1	335
pVA524_58~pVA544_8	pVA524_58	3	1	32382
	pVA524_58	1	32382	35125
	pVA524_58	4	35125	35459
	pVA524_58	2	35459	39038
	pVA524_58	5	39038	58133
	pVA544_8	-1	1	2744
	pVA544_8	6	2744	4895
	pVA544_8	-2	4895	8474
pVA524_58~pVA585_53	pVA524_58	1	1	768
	pVA524_58	2	768	1026
	pVA524_58	6	1026	1658
	pVA524_58	2	1658	1990
	pVA524_58	3	1990	4603
	pVA524_58	7	4603	7565
	pVA524_58	4	7565	8812
	pVA524_58	8	8812	13030
	pVA524_58	4	13030	14278
	pVA524_58	5	14278	58133
	pVA585_53	1	1	768
	pVA585_53	2	768	1100
	pVA585_53	3	1100	3639
	pVA585_53	11	3639	8337
	pVA585_53	4	8337	9584
	pVA585_53	5	9584	53437
pVA524_58~pVA61_57	pVA524_58	1	1	768
	pVA524_58	2	862	1360
	pVA524_58	2	1493	1991
	pVA524_58	4	1991	2268
	pVA524_58	3	2268	58133
	pVA61_57	1	1	768
	pVA61_57	2	899	1399
	pVA61_57	3	1528	57541
pVA524_58~pVA754_57	pVA524_58	1	1	768
	pVA524_58	2	768	1454
	pVA524_58	2	1547	2120
	pVA524_58	3	2120	58133
	pVA754_57	1	1	768
	pVA754_57	2	768	1341
	pVA754_57	3	1341	57354
pVA524_58~pVA765_1_B	pVA524_58	2	1	13144
	pVA524_58	1	13144	14278
	pVA524_58	3	14278	58133
	pVA765_1_B	1	1	1135
pVA524_58~pVA765_4_B	pVA524_58	2	1	8812
	pVA524_58	1	8812	10966
	pVA524_58	3	10966	58133
	pVA765_4_B	4	1	2070
	pVA765_4_B	-1	2070	4224
pVA524_58~pVA767_57	pVA524_58	1	1	768
	pVA524_58	2	768	1026
	pVA524_58	4	1026	1732
	pVA524_58	2	1732	2064
	pVA524_58	3	2064	58133
	pVA767_57	1	1	768
	pVA767_57	2	768	1063
	pVA767_57	3	1063	57132
pVA524_58~pVA791_57	pVA524_58	1	1	768
	pVA524_58	2	768	1026
	pVA524_58	4	1026	1769
	pVA524_58	2	1769	2064
	pVA524_58	3	2064	58133
	pVA791_57	1	1	768
	pVA791_57	2	768	1063
	pVA791_57	3	1063	57132
