	Plasmid	Block_ID	Start	End
pVA1101_5~pVA1393_45	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA1393_45	3	1	41296
	pVA1393_45	1	41296	44420
	pVA1393_45	4	44420	45074
pVA1101_5~pVA1505_46	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA1505_46	3	1	42194
	pVA1505_46	1	42194	45318
	pVA1505_46	4	45318	46162
pVA1101_5~pVA1565_46	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA1565_46	3	1	36900
	pVA1565_46	-1	36900	40024
	pVA1565_46	4	40024	46162
pVA1101_5~pVA1626_45	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA1626_45	3	1	41694
	pVA1626_45	1	41694	44818
	pVA1626_45	4	44818	45662
pVA1101_5~pVA1686_54	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA1686_54	3	1	47598
	pVA1686_54	-1	47598	50722
	pVA1686_54	4	50722	54972
pVA1101_5~pVA1722_46	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA1722_46	3	1	42322
	pVA1722_46	-1	42322	45446
	pVA1722_46	4	45446	46162
pVA1101_5~pVA1825_54	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA1825_54	3	1	47598
	pVA1825_54	-1	47598	50722
	pVA1825_54	4	50722	54972
pVA1101_5~pVA1835_58_A	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA1835_58_A	3	1	42194
	pVA1835_58_A	1	42194	45318
	pVA1835_58_A	4	45318	58641
pVA1101_5~pVA2067_45	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA2067_45	3	1	39471
	pVA2067_45	-1	39471	42595
	pVA2067_45	4	42595	45074
pVA1101_5~pVA2464_46	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA2464_46	3	1	42322
	pVA2464_46	-1	42322	45446
	pVA2464_46	4	45446	46162
pVA1101_5~pVA2589_99	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA2589_99	3	1	25573
	pVA2589_99	1	25573	28697
	pVA2589_99	4	28697	99588
pVA1101_5~pVA2682_52	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA2682_52	3	1	46914
	pVA2682_52	1	46914	50038
	pVA2682_52	4	50038	52814
pVA1101_5~pVA2817_162	pVA1101_5	1	1	3125
	pVA1101_5	2	3212	4363
	pVA1101_5	4	4363	4873
	pVA1101_5	3	4873	5368
	pVA2817_162	5	1	120390
	pVA2817_162	-3	120390	120885
	pVA2817_162	-2	120975	122081
	pVA2817_162	6	122081	139640
	pVA2817_162	-1	139640	142764
	pVA2817_162	7	142764	162854
pVA1101_5~pVA418_56	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA418_56	3	1	49074
	pVA418_56	1	49074	52198
	pVA418_56	4	52198	56293
pVA1101_5~pVA436_54	pVA1101_5	1	1	3125
	pVA1101_5	2	3125	5372
	pVA436_54	3	1	4120
	pVA436_54	1	4120	7244
	pVA436_54	4	7244	54972
