	Plasmid	Block_ID	Start	End
pVA1184_286~pVA528_281	pVA1184_286	1	1	133217
	pVA1184_286	4	133217	147731
	pVA1184_286	2	147731	149580
	pVA1184_286	3	149580	286941
	pVA528_281	1	1	133217
	pVA528_281	2	133217	135066
	pVA528_281	5	135066	144085
	pVA528_281	3	144085	281446
pVA1184_286~pVA544_3	pVA1184_286	2	1	114380
	pVA1184_286	1	114380	114714
	pVA1184_286	3	114714	286941
	pVA544_3	1	1	335
pVA1184_286~pVA544_8	pVA1184_286	3	1	113336
	pVA1184_286	1	113336	114055
	pVA1184_286	4	114055	114715
	pVA1184_286	2	114715	118291
	pVA1184_286	5	118291	286941
	pVA544_8	-1	25	744
	pVA544_8	6	744	4899
	pVA544_8	-2	4899	8473
pVA1184_286~pVA605_296	pVA1184_286	8	1	123134
	pVA1184_286	4	123134	124071
	pVA1184_286	5	124082	146429
	pVA1184_286	6	146430	147249
	pVA1184_286	2	146430	148551
	pVA1184_286	3	148551	149488
	pVA1184_286	7	149580	157570
	pVA1184_286	1	157571	163640
	pVA1184_286	9	163640	286941
	pVA605_296	-1	1	6070
	pVA605_296	2	6071	8192
	pVA605_296	4	8192	9129
	pVA605_296	3	8192	9130
	pVA605_296	5	9141	31576
	pVA605_296	6	31577	32396
	pVA605_296	-7	32405	40395
	pVA605_296	10	40395	49506
	pVA605_296	-4	49506	50443
	pVA605_296	-3	49506	50443
	pVA605_296	-8	50443	173576
	pVA605_296	-9	173576	296877
pVA1184_286~pVA634_271	pVA1184_286	1	1	100881
	pVA1184_286	2	100890	102251
	pVA1184_286	10	102251	122716
	pVA1184_286	2	122716	124078
	pVA1184_286	3	124078	146429
	pVA1184_286	4	146429	147249
	pVA1184_286	5	147249	147729
	pVA1184_286	-4	147731	148551
	pVA1184_286	6	148551	149580
	pVA1184_286	7	149580	189995
	pVA1184_286	8	189987	248070
	pVA1184_286	11	248070	249657
	pVA1184_286	9	249657	286941
	pVA634_271	1	1	100880
	pVA634_271	2	100881	102242
	pVA634_271	3	102242	124593
	pVA634_271	4	124593	125411
	pVA634_271	-5	125415	125895
	pVA634_271	-4	125893	126713
	pVA634_271	-4	125895	126713
	pVA634_271	6	126713	127742
	pVA634_271	14	127742	133613
	pVA634_271	7	133613	174027
	pVA634_271	15	174027	175343
	pVA634_271	8	175343	233426
	pVA634_271	16	233426	234573
	pVA634_271	9	234573	271857
pVA1184_286~pVA692_270	pVA1184_286	1	1	128982
	pVA1184_286	3	128982	149580
	pVA1184_286	2	149580	286941
	pVA692_270	1	1	128982
	pVA692_270	4	128982	133187
	pVA692_270	2	133187	270548
pVA1184_286~pVA765_0.7	pVA1184_286	2	1	147789
	pVA1184_286	1	147789	148493
	pVA1184_286	3	148493	286941
	pVA765_0.7	-1	1	705
pVA1184_286~pVA765_1_A	pVA1184_286	2	1	95893
	pVA1184_286	1	95893	97258
	pVA1184_286	3	97258	286941
	pVA765_1_A	1	150	1515
	pVA765_1_A	4	1515	1775
pVA1184_286~pVA765_1_B	pVA1184_286	2	1	131051
	pVA1184_286	1	131051	132185
	pVA1184_286	3	132185	286941
	pVA765_1_B	1	1	1135
pVA1184_286~pVA765_275	pVA1184_286	1	1	22523
	pVA1184_286	2	22523	23598
	pVA1184_286	3	23598	93069
	pVA1184_286	11	93069	100252
	pVA1184_286	4	100252	125694
	pVA1184_286	5	124658	125694
	pVA1184_286	6	125694	126828
	pVA1184_286	7	126828	128983
	pVA1184_286	12	128983	131051
	pVA1184_286	6	131051	132185
	pVA1184_286	8	132185	149580
	pVA1184_286	9	149580	252684
	pVA1184_286	13	252684	262149
	pVA1184_286	10	262149	286941
	pVA765_275	1	1	22523
	pVA765_275	2	22523	23598
	pVA765_275	2	23598	24664
	pVA765_275	3	24664	94135
	pVA765_275	4	94137	119579
	pVA765_275	6	119579	120713
	pVA765_275	8	120713	138108
	pVA765_275	15	138108	138600
	pVA765_275	5	138600	139636
	pVA765_275	6	139636	140770
	pVA765_275	7	140770	142925
	pVA765_275	16	142925	147127
	pVA765_275	9	147127	250231
	pVA765_275	10	250233	275025
pVA1184_286~pVA765_4_B	pVA1184_286	2	1	126828
	pVA1184_286	1	126828	131051
	pVA1184_286	3	131051	286941
	pVA765_4_B	-1	1	4224
pVA1184_286~pVA791_17	pVA1184_286	2	1	128982
	pVA1184_286	1	128982	146429
	pVA1184_286	3	146429	286941
	pVA791_17	1	1	17448
pVA1184_286~pVA791_270	pVA1184_286	1	1	128983
	pVA1184_286	3	128983	149580
	pVA1184_286	2	149580	286941
	pVA791_270	1	1	128983
	pVA791_270	4	128983	133185
	pVA791_270	2	133185	270546
