	Plasmid	Block_ID	Start	End
pVA1788_53~pVA2464_7	pVA1788_53	2	1	506
	pVA1788_53	1	506	4170
	pVA1788_53	3	4170	53729
	pVA2464_7	4	1	3079
	pVA2464_7	1	3079	6743
	pVA2464_7	5	6743	7219
pVA1788_53~pVA2589_86	pVA1788_53	1	1	13715
	pVA1788_53	2	13716	14895
	pVA1788_53	3	14896	15405
	pVA1788_53	4	15397	53729
	pVA2589_86	5	1	1279
	pVA2589_86	4	1279	39611
	pVA2589_86	1	39611	53325
	pVA2589_86	2	53326	54505
	pVA2589_86	2	54506	55685
	pVA2589_86	3	55686	56195
	pVA2589_86	6	56195	86194
pVA1788_53~pVA2682_199	pVA1788_53	1	1	8007
	pVA1788_53	2	8009	8829
	pVA1788_53	3	8830	11691
	pVA1788_53	10	11691	12065
	pVA1788_53	4	12065	12271
	pVA1788_53	11	12271	22214
	pVA1788_53	5	22214	23042
	pVA1788_53	12	23042	24638
	pVA1788_53	6	24638	30964
	pVA1788_53	13	30964	32650
	pVA1788_53	7	32650	33472
	pVA1788_53	14	33472	40812
	pVA1788_53	8	40812	42269
	pVA1788_53	15	42269	49903
	pVA1788_53	9	49903	52907
	pVA1788_53	2	52909	53729
	pVA2682_199	17	1	13891
	pVA2682_199	4	13891	14097
	pVA2682_199	18	14097	59983
	pVA2682_199	-3	59983	62844
	pVA2682_199	19	62844	63515
	pVA2682_199	-7	63515	64337
	pVA2682_199	6	64338	70664
	pVA2682_199	-7	70664	78826
	pVA2682_199	20	78826	79960
	pVA2682_199	-8	79960	81417
	pVA2682_199	-2	81426	82246
	pVA2682_199	-9	82248	85252
	pVA2682_199	21	85252	90724
	pVA2682_199	1	90724	98639
	pVA2682_199	2	98640	99460
	pVA2682_199	22	99460	116691
	pVA2682_199	-5	116691	117519
	pVA2682_199	23	117519	199029
pVA1788_53~pVA418_110	pVA1788_53	5	1	8007
	pVA1788_53	1	8007	8829
	pVA1788_53	2	8829	15397
	pVA1788_53	3	15405	35541
	pVA1788_53	6	35541	42384
	pVA1788_53	4	42384	52907
	pVA1788_53	1	52907	53729
	pVA418_110	8	1	1287
	pVA418_110	3	1287	21423
	pVA418_110	9	21423	38038
	pVA418_110	4	38038	48561
	pVA418_110	1	48561	49383
	pVA418_110	2	49383	55951
	pVA418_110	10	55951	110199
pVA1788_53~pVA544_3	pVA1788_53	2	1	39436
	pVA1788_53	1	39436	39770
	pVA1788_53	3	39770	53729
	pVA544_3	-1	1	335
pVA1788_53~pVA765_0.7	pVA1788_53	2	1	52967
	pVA1788_53	1	52967	53671
	pVA765_0.7	1	1	705
pVA1788_53~pVA765_1_A	pVA1788_53	2	1	26100
	pVA1788_53	1	26100	27465
	pVA1788_53	3	27465	53729
	pVA765_1_A	-1	150	1515
	pVA765_1_A	4	1515	1775
pVA1788_57~pVA2589_86	pVA1788_57	1	1	1286
	pVA1788_57	12	1286	4654
	pVA1788_57	8	4654	28903
	pVA1788_57	7	28903	30591
	pVA1788_57	13	30591	34364
	pVA1788_57	4	34364	35191
	pVA1788_57	14	35191	40553
	pVA1788_57	7	40553	42241
	pVA1788_57	15	42241	47445
	pVA1788_57	9	47445	47954
	pVA1788_57	10	47955	49134
	pVA1788_57	6	47955	49140
	pVA1788_57	16	49140	49913
	pVA1788_57	2	49913	50179
	pVA1788_57	17	50179	52191
	pVA1788_57	3	52191	53014
	pVA1788_57	18	53014	54414
	pVA1788_57	5	54414	54831
	pVA1788_57	11	54831	57921
	pVA2589_86	1	1	1286
	pVA2589_86	20	1286	7828
	pVA2589_86	-2	7828	8094
	pVA2589_86	3	8099	8922
	pVA2589_86	21	8922	18527
	pVA2589_86	-4	18527	19353
	pVA2589_86	22	19353	51465
	pVA2589_86	5	51465	51882
	pVA2589_86	23	51882	53320
	pVA2589_86	-6	53320	54505
	pVA2589_86	-7	54506	56194
	pVA2589_86	-8	56194	80443
	pVA2589_86	24	80443	81282
	pVA2589_86	9	81282	81791
	pVA2589_86	7	81283	82971
	pVA2589_86	10	81792	82971
	pVA2589_86	11	83104	86194
pVA1788_57~pVA418_110	pVA1788_57	1	1	1286
	pVA1788_57	10	1286	4654
	pVA1788_57	2	4654	28903
	pVA1788_57	3	28903	30591
	pVA1788_57	4	30591	38864
	pVA1788_57	5	38864	40557
	pVA1788_57	5	40552	42245
	pVA1788_57	6	42245	47443
	pVA1788_57	11	47443	49138
	pVA1788_57	7	49138	56520
	pVA1788_57	8	54831	56624
	pVA1788_57	9	56620	57921
	pVA418_110	1	1	1286
	pVA418_110	13	1286	54270
	pVA418_110	-3	54270	55958
	pVA418_110	-2	55958	80207
	pVA418_110	14	80207	81047
	pVA418_110	3	81047	82735
	pVA418_110	4	82735	91008
	pVA418_110	5	91008	92701
	pVA418_110	6	92701	97899
	pVA418_110	7	97906	105288
	pVA418_110	8	105421	107214
	pVA418_110	15	107214	108898
	pVA418_110	9	108898	110199
pVA1788_57~pVA765_0.7	pVA1788_57	2	1	52249
	pVA1788_57	1	52249	52953
	pVA1788_57	3	52953	57921
	pVA765_0.7	-1	1	705
