	Plasmid	Block_ID	Start	End
pReSeq_VA61_41~pVA1825_57	pReSeq_VA61_41	1	1	41302
	pVA1825_57	2	1	13685
	pVA1825_57	-1	13685	54986
	pVA1825_57	3	54986	57541
pReSeq_VA61_41~pVA1835_58_B	pReSeq_VA61_41	1	1	41302
	pVA1835_58_B	2	1	14280
	pVA1835_58_B	-1	14280	55581
	pVA1835_58_B	3	55581	58136
pReSeq_VA61_41~pVA436_52	pReSeq_VA61_41	1	1	41302
	pVA436_52	2	1	8814
	pVA436_52	-1	8814	50115
	pVA436_52	3	50115	52670
pReSeq_VA61_41~pVA524_58	pReSeq_VA61_41	1	1	41302
	pVA524_58	2	1	14277
	pVA524_58	-1	14277	55578
	pVA524_58	3	55578	58133
pReSeq_VA61_41~pVA527_58	pReSeq_VA61_41	1	1	41302
	pVA527_58	2	1	14281
	pVA527_58	-1	14281	55582
	pVA527_58	3	55582	58137
pReSeq_VA61_41~pVA528_44	pReSeq_VA61_41	1	1	39220
	pReSeq_VA61_41	2	39220	41302
	pVA528_44	3	1	2651
	pVA528_44	-1	2651	41873
	pVA528_44	4	41873	44428
pReSeq_VA61_41~pVA544_3	pReSeq_VA61_41	2	1	20120
	pReSeq_VA61_41	1	20120	20454
	pReSeq_VA61_41	3	20454	41302
	pVA544_3	-1	1	335
pReSeq_VA61_41~pVA544_8	pReSeq_VA61_41	3	1	16541
	pReSeq_VA61_41	1	16541	20120
	pReSeq_VA61_41	4	20120	20454
	pReSeq_VA61_41	2	20454	23197
	pReSeq_VA61_41	5	23197	41302
	pVA544_8	2	1	2744
	pVA544_8	6	2744	4895
	pVA544_8	1	4895	8474
pReSeq_VA61_41~pVA569_107	pReSeq_VA61_41	2	1	18778
	pReSeq_VA61_41	1	18778	41302
	pVA569_107	3	1	14820
	pVA569_107	1	14820	37338
	pVA569_107	4	37338	107281
pReSeq_VA61_41~pVA585_53	pReSeq_VA61_41	1	1	41302
	pVA585_53	2	1	9583
	pVA585_53	-1	9583	50882
	pVA585_53	3	50882	53437
pReSeq_VA61_41~pVA61_57	pReSeq_VA61_41	1	1	41302
	pVA61_57	2	1	13685
	pVA61_57	-1	13685	54986
	pVA61_57	3	54986	57541
pReSeq_VA61_41~pVA754_57	pReSeq_VA61_41	1	1	41302
	pVA754_57	2	1	13498
	pVA754_57	-1	13498	54799
	pVA754_57	3	54799	57354
pReSeq_VA61_41~pVA767_57	pReSeq_VA61_41	1	1	41302
	pVA767_57	2	1	13276
	pVA767_57	-1	13276	54577
	pVA767_57	3	54577	57132
pReSeq_VA61_41~pVA791_57	pReSeq_VA61_41	1	1	41302
	pVA791_57	2	1	13276
	pVA791_57	-1	13276	54577
	pVA791_57	3	54577	57132
pReSeq_VA61_4~pVA1046_41	pReSeq_VA61_4	1	1	2158
	pReSeq_VA61_4	2	2158	4225
	pVA1046_41	3	1	29359
	pVA1046_41	1	29359	31516
	pVA1046_41	4	31516	41890
pReSeq_VA61_4~pVA1184_286	pReSeq_VA61_4	1	1	2157
	pReSeq_VA61_4	2	2157	4225
	pVA1184_286	3	1	126826
	pVA1184_286	1	126826	128982
	pVA1184_286	4	128982	286941
pReSeq_VA61_4~pVA1393_58	pReSeq_VA61_4	1	1	4225
	pVA1393_58	2	1	8813
	pVA1393_58	1	8813	13037
	pVA1393_58	3	13037	58136
pReSeq_VA61_4~pVA1505_61	pReSeq_VA61_4	1	1	4225
	pVA1505_61	2	1	8218
	pVA1505_61	1	8218	12442
	pVA1505_61	3	12442	61210
pReSeq_VA61_4~pVA1626_57	pReSeq_VA61_4	1	1	4225
	pVA1626_57	2	1	8218
