	Plasmid	Block_ID	Start	End
pVA1835_189~pVA765_0.7	pVA1835_189	2	1	22595
	pVA1835_189	1	22595	23299
	pVA1835_189	3	23299	189635
	pVA765_0.7	1	1	705
pVA1835_363~pVA2067_271	pVA1835_363	1	1	22385
	pVA1835_363	2	22385	23443
	pVA1835_363	3	23579	33309
	pVA1835_363	24	33309	53758
	pVA1835_363	4	53758	105723
	pVA1835_363	25	105723	147020
	pVA1835_363	5	147020	150023
	pVA1835_363	6	150029	154305
	pVA1835_363	26	154305	155652
	pVA1835_363	7	155652	160953
	pVA1835_363	27	160953	163105
	pVA1835_363	8	163105	167741
	pVA1835_363	9	167743	174713
	pVA1835_363	28	174713	187557
	pVA1835_363	10	187557	189843
	pVA1835_363	29	189843	191934
	pVA1835_363	11	191934	193422
	pVA1835_363	12	193427	199129
	pVA1835_363	11	199129	200615
	pVA1835_363	30	200615	212372
	pVA1835_363	13	212372	213192
	pVA1835_363	31	213192	214927
	pVA1835_363	-13	214927	215747
	pVA1835_363	32	215747	217878
	pVA1835_363	14	217878	218700
	pVA1835_363	33	218700	234888
	pVA1835_363	5	234888	237892
	pVA1835_363	34	237892	261575
	pVA1835_363	15	261575	262893
	pVA1835_363	16	262896	263957
	pVA1835_363	17	263949	310837
	pVA1835_363	18	310892	320679
	pVA1835_363	19	320689	321746
	pVA1835_363	20	321755	324944
	pVA1835_363	35	324944	326324
	pVA1835_363	21	326324	339780
	pVA1835_363	22	339790	340559
	pVA1835_363	23	340567	363035
	pVA2067_271	1	1	22386
	pVA2067_271	-2	22522	23580
	pVA2067_271	3	23580	33310
	pVA2067_271	4	33314	85278
	pVA2067_271	6	85287	89563
	pVA2067_271	39	89563	90624
	pVA2067_271	7	90624	95893
	pVA2067_271	-5	95893	98901
	pVA2067_271	40	98901	114532
	pVA2067_271	8	114532	119167
	pVA2067_271	41	119167	122431
	pVA2067_271	-14	122431	123253
	pVA2067_271	42	123253	123735
	pVA2067_271	13	123735	124555
	pVA2067_271	43	124555	134602
	pVA2067_271	22	134602	135371
	pVA2067_271	44	135371	137121
	pVA2067_271	-19	137121	138178
	pVA2067_271	45	138178	142366
	pVA2067_271	9	142366	149339
	pVA2067_271	46	149339	151720
	pVA2067_271	12	151720	157422
	pVA2067_271	11	157422	158908
	pVA2067_271	47	158908	161947
	pVA2067_271	10	161947	164233
	pVA2067_271	15	164238	165556
	pVA2067_271	48	165556	166983
	pVA2067_271	17	166983	213871
	pVA2067_271	49	213871	221480
	pVA2067_271	18	221480	231267
	pVA2067_271	20	231277	234466
	pVA2067_271	50	234466	234961
	pVA2067_271	-16	234961	236023
	pVA2067_271	21	236029	249485
	pVA2067_271	23	249496	271964
pVA1835_363~pVA528_281	pVA1835_363	1	1	22385
	pVA1835_363	2	22385	23443
	pVA1835_363	3	23579	33309
	pVA1835_363	24	33309	53758
	pVA1835_363	4	53758	105723
	pVA1835_363	25	105723	107079
	pVA1835_363	5	107079	110275
	pVA1835_363	26	110275	119841
	pVA1835_363	6	119841	121100
	pVA1835_363	27	121100	150029
	pVA1835_363	7	150029	154305
	pVA1835_363	28	154305	155652
	pVA1835_363	8	155652	160953
	pVA1835_363	29	160953	167743
	pVA1835_363	9	167743	174713
	pVA1835_363	30	174713	187557
	pVA1835_363	10	187557	189843
	pVA1835_363	31	189843	191934
	pVA1835_363	11	191934	193422
	pVA1835_363	12	193427	199129
	pVA1835_363	11	199129	200615
	pVA1835_363	32	200615	212372
	pVA1835_363	13	212372	213192
	pVA1835_363	33	213192	217878
	pVA1835_363	13	217878	218698
	pVA1835_363	34	218698	234769
	pVA1835_363	14	234769	237892
	pVA1835_363	35	237892	261575
	pVA1835_363	15	261575	262893
	pVA1835_363	16	262896	263957
	pVA1835_363	17	263949	310837
	pVA1835_363	18	310892	320679
	pVA1835_363	19	320689	321746
	pVA1835_363	20	321755	324944
	pVA1835_363	36	324944	326324
	pVA1835_363	21	326324	339780
	pVA1835_363	22	339790	340559
	pVA1835_363	23	340567	363035
	pVA528_281	1	1	22386
	pVA528_281	-2	22522	23580
	pVA528_281	3	23580	33310
	pVA528_281	4	33314	85278
	pVA528_281	7	85287	89563
	pVA528_281	39	89563	90624
	pVA528_281	8	90624	95893
	pVA528_281	-14	95893	99020
	pVA528_281	40	99020	118291
	pVA528_281	-6	118291	119550
	pVA528_281	5	119569	122765
	pVA528_281	41	122765	133217
	pVA528_281	13	133217	134037
	pVA528_281	42	134037	144084
	pVA528_281	22	144084	144853
	pVA528_281	43	144853	146603
	pVA528_281	-19	146603	147660
	pVA528_281	44	147660	151848
	pVA528_281	9	151848	158821
	pVA528_281	45	158821	161202
	pVA528_281	12	161202	166904
	pVA528_281	11	166904	168390
	pVA528_281	46	168390	171429
	pVA528_281	10	171429	173715
	pVA528_281	15	173720	175038
	pVA528_281	47	175038	176465
	pVA528_281	17	176465	223353
	pVA528_281	48	223353	230962
	pVA528_281	18	230962	240749
	pVA528_281	20	240759	243948
	pVA528_281	49	243948	244443
	pVA528_281	-16	244443	245505
	pVA528_281	21	245511	258967
	pVA528_281	23	258978	281446
pVA1835_363~pVA605_296	pVA1835_363	1	1	22385
	pVA1835_363	2	22385	23443
	pVA1835_363	3	23579	33309
	pVA1835_363	26	33309	53758
	pVA1835_363	4	53758	105723
	pVA1835_363	27	105723	107079
	pVA1835_363	5	107079	110275
	pVA1835_363	28	110275	119841
	pVA1835_363	6	119841	121100
	pVA1835_363	29	121100	147020
	pVA1835_363	7	147020	150023
	pVA1835_363	8	150029	154305
	pVA1835_363	30	154305	155652
	pVA1835_363	9	155652	160953
	pVA1835_363	31	160953	163105
	pVA1835_363	10	163105	167741
	pVA1835_363	11	167743	167970
	pVA1835_363	12	167979	174040
	pVA1835_363	32	174040	187557
	pVA1835_363	13	187557	189843
	pVA1835_363	33	189843	193427
	pVA1835_363	14	193427	200615
	pVA1835_363	34	200615	212372
	pVA1835_363	15	212372	213192
	pVA1835_363	35	213192	217878
	pVA1835_363	15	217878	218698
	pVA1835_363	36	218698	244490
	pVA1835_363	16	244490	245310
	pVA1835_363	37	245310	261575
	pVA1835_363	17	261575	262893
	pVA1835_363	18	262896	263957
	pVA1835_363	19	263949	310837
	pVA1835_363	20	310892	320679
	pVA1835_363	21	320689	321746
	pVA1835_363	22	321755	324944
	pVA1835_363	38	324944	326324
	pVA1835_363	23	326324	339780
	pVA1835_363	24	339790	340559
	pVA1835_363	25	340567	363035
	pVA605_296	-12	1	6062
	pVA605_296	16	6071	6891
	pVA605_296	40	6891	7372
	pVA605_296	15	7372	8192
	pVA605_296	41	8192	23675
	pVA605_296	10	23675	28310
	pVA605_296	42	28310	31576
	pVA605_296	-15	31576	32396
	pVA605_296	-11	32405	32632
	pVA605_296	43	32632	36820
	pVA605_296	21	36820	37877
	pVA605_296	44	37877	39627
	pVA605_296	-24	39627	40396
	pVA605_296	45	40396	50812
	pVA605_296	-5	50812	54008
	pVA605_296	6	54027	55286
	pVA605_296	46	55286	74676
	pVA605_296	7	74676	77684
	pVA605_296	-9	77684	82953
	pVA605_296	47	82953	84014
	pVA605_296	-8	84014	88290
	pVA605_296	-4	88299	140263
	pVA605_296	-3	140267	149997
	pVA605_296	2	149997	151055
	pVA605_296	-1	151191	173576
	pVA605_296	-25	173576	196044
	pVA605_296	-23	196055	209511
	pVA605_296	18	209517	210579
	pVA605_296	48	210579	211074
	pVA605_296	-22	211074	214263
	pVA605_296	-20	214273	224060
	pVA605_296	49	224060	231669
	pVA605_296	-19	231669	278557
	pVA605_296	50	278557	279984
	pVA605_296	-17	279984	281302
	pVA605_296	-13	281307	283593
	pVA605_296	51	283593	286632
	pVA605_296	-14	286632	293820
	pVA605_296	52	293820	296877
pVA1835_363~pVA634_271	pVA1835_363	1	1	22385
	pVA1835_363	2	22385	23443
	pVA1835_363	3	23579	33309
	pVA1835_363	26	33309	53758
	pVA1835_363	4	53758	105723
	pVA1835_363	27	105723	147020
	pVA1835_363	5	147020	150023
	pVA1835_363	6	150029	154305
	pVA1835_363	28	154305	155652
	pVA1835_363	7	155652	160953
	pVA1835_363	29	160953	163105
	pVA1835_363	8	163105	167741
	pVA1835_363	9	167743	174713
	pVA1835_363	30	174713	187557
	pVA1835_363	10	187557	189843
	pVA1835_363	31	189843	191934
	pVA1835_363	11	191934	193422
	pVA1835_363	12	193427	199129
	pVA1835_363	11	199129	200615
	pVA1835_363	32	200615	212372
	pVA1835_363	13	212372	213192
	pVA1835_363	33	213192	214927
	pVA1835_363	-13	214927	215747
	pVA1835_363	34	215747	217578
	pVA1835_363	14	217578	217878
	pVA1835_363	14	217878	218178
	pVA1835_363	15	218178	218700
	pVA1835_363	35	218700	234888
	pVA1835_363	5	234888	237892
	pVA1835_363	36	237892	261575
	pVA1835_363	16	261575	262893
	pVA1835_363	17	262896	263957
	pVA1835_363	18	263949	271984
	pVA1835_363	19	271976	310837
	pVA1835_363	20	310892	320679
	pVA1835_363	21	320689	321746
	pVA1835_363	22	321755	323571
	pVA1835_363	37	323571	326324
	pVA1835_363	23	326324	339780
	pVA1835_363	24	339791	340559
	pVA1835_363	25	340567	363035
	pVA634_271	1	1	22386
	pVA634_271	-2	22522	23580
	pVA634_271	3	23580	33310
	pVA634_271	4	33314	85278
	pVA634_271	6	85287	89563
	pVA634_271	42	89563	90624
	pVA634_271	7	90624	95893
	pVA634_271	-5	95893	98901
	pVA634_271	43	98901	116692
	pVA634_271	8	116692	121327
	pVA634_271	44	121327	124591
	pVA634_271	-15	124591	125113
	pVA634_271	-14	125113	125411
	pVA634_271	45	125411	125893
	pVA634_271	13	125893	126713
	pVA634_271	46	126713	133613
	pVA634_271	24	133613	134381
	pVA634_271	47	134381	136131
	pVA634_271	-21	136131	137188
	pVA634_271	48	137188	141376
	pVA634_271	9	141376	148349
	pVA634_271	49	148349	150729
	pVA634_271	12	150729	156431
	pVA634_271	11	156431	157917
	pVA634_271	50	157917	160956
	pVA634_271	10	160956	163242
	pVA634_271	16	163247	164565
	pVA634_271	51	164565	165992
	pVA634_271	18	165992	174027
	pVA634_271	52	174027	175343
	pVA634_271	19	175343	214204
	pVA634_271	53	214204	221813
	pVA634_271	20	221813	231600
	pVA634_271	22	231610	233426
	pVA634_271	54	233426	234854
	pVA634_271	-17	234854	235916
	pVA634_271	23	235922	249378
	pVA634_271	25	249389	271857
pVA1835_363~pVA692_270	pVA1835_363	1	1	22385
	pVA1835_363	2	22385	23443
	pVA1835_363	3	23579	33309
	pVA1835_363	23	33309	53758
	pVA1835_363	4	53758	105723
	pVA1835_363	24	105723	107079
	pVA1835_363	5	107079	110275
	pVA1835_363	25	110275	119841
	pVA1835_363	6	119841	121100
	pVA1835_363	26	121100	147020
	pVA1835_363	7	147020	150023
	pVA1835_363	8	150029	154305
	pVA1835_363	27	154305	155652
	pVA1835_363	9	155652	160953
	pVA1835_363	28	160953	167743
	pVA1835_363	10	167743	174713
