	Plasmid	Block_ID	Start	End
pVA1101_40~pVA436_54	pVA1101_40	1	1	38769
	pVA1101_40	2	38774	40941
	pVA436_54	3	1	700
	pVA436_54	2	700	2867
	pVA436_54	4	2867	8088
	pVA436_54	1	8088	46856
	pVA436_54	5	46856	54972
pVA1101_40~pVA524_46	pVA1101_40	1	1	11490
	pVA1101_40	2	11490	40941
	pVA524_46	2	1	29452
	pVA524_46	3	29452	34673
	pVA524_46	1	34673	46162
pVA1101_40~pVA527_45	pVA1101_40	1	1	39892
	pVA1101_40	2	39892	40941
	pVA527_45	3	1	4360
	pVA527_45	-1	4360	44251
	pVA527_45	4	44251	45074
pVA1101_40~pVA605_91	pVA1101_40	1	1	38806
	pVA1101_40	2	38806	39697
	pVA1101_40	3	39697	40941
	pVA605_91	2	1	892
	pVA605_91	3	892	2136
	pVA605_91	4	2136	7357
	pVA605_91	1	7357	46162
	pVA605_91	2	46162	47053
	pVA605_91	5	47053	91033
pVA1101_40~pVA634_54	pVA1101_40	1	1	1934
	pVA1101_40	2	1934	38769
	pVA1101_40	3	38774	40941
	pVA634_54	2	1	36836
	pVA634_54	4	36836	45651
	pVA634_54	3	45651	47818
	pVA634_54	5	47818	53039
	pVA634_54	1	53039	54972
pVA1101_40~pVA692_45	pVA1101_40	1	1	38627
	pVA1101_40	2	38627	39892
	pVA1101_40	3	39892	40941
	pVA692_45	-1	1	38627
	pVA692_45	4	38627	43809
	pVA692_45	-2	43809	45074
pVA1101_40~pVA765_45	pVA1101_40	1	2	39892
	pVA1101_40	2	39892	40941
	pVA765_45	1	1	39891
	pVA765_45	3	39891	45074
pVA1101_40~pVA767_46	pVA1101_40	1	1	40941
	pVA767_46	-1	40	40980
	pVA767_46	2	40980	46162
