	Plasmid	Block_ID	Start	End
pVA634_54~pVA765_45	pVA634_54	1	1	36836
	pVA634_54	5	36836	45651
	pVA634_54	2	45651	46769
	pVA634_54	6	46769	47857
	pVA634_54	3	47857	53040
	pVA634_54	4	53040	54972
	pVA765_45	4	1	1933
	pVA765_45	1	1933	38768
	pVA765_45	2	38773	39891
	pVA765_45	3	39891	45074
pVA634_54~pVA767_46	pVA634_54	1	1	36836
	pVA634_54	4	36836	45651
	pVA634_54	2	45651	47857
	pVA634_54	3	47857	54972
	pVA767_46	-2	1	2207
	pVA767_46	-1	2212	39047
	pVA767_46	-3	39047	46162
pVA634_6~pVA692_4	pVA634_6	2	1	315
	pVA634_6	1	315	2777
	pVA634_6	3	2777	6872
	pVA692_4	4	1	642
	pVA692_4	1	642	3074
	pVA692_4	5	3074	4854
pVA634_6~pVA765_4_A	pVA634_6	2	1	315
	pVA634_6	1	315	2855
	pVA634_6	3	2855	6872
	pVA765_4_A	4	1	1308
	pVA765_4_A	-1	1308	3816
	pVA765_4_A	5	3816	4666
pVA692_270~pVA765_1_A	pVA692_270	2	1	95893
	pVA692_270	1	95893	97258
	pVA692_270	3	97258	270548
	pVA765_1_A	1	150	1515
	pVA765_1_A	4	1515	1775
pVA692_270~pVA765_1_B	pVA692_270	2	1	125694
	pVA692_270	1	125694	126828
	pVA692_270	3	126828	270548
	pVA765_1_B	1	1	1135
pVA692_270~pVA765_275	pVA692_270	1	1	22523
	pVA692_270	2	22523	23598
	pVA692_270	3	23598	93069
	pVA692_270	8	93069	100252
	pVA692_270	4	100252	124658
	pVA692_270	5	124658	126828
	pVA692_270	6	126828	236291
	pVA692_270	9	236291	245756
	pVA692_270	7	245756	270548
	pVA765_275	1	1	22523
	pVA765_275	2	22523	23598
	pVA765_275	2	23598	24664
	pVA765_275	3	24664	94135
	pVA765_275	4	94137	118543
	pVA765_275	5	118543	120713
	pVA765_275	10	120713	138600
	pVA765_275	5	138600	140770
	pVA765_275	6	140770	250231
	pVA765_275	7	250233	275025
pVA692_270~pVA765_4_B	pVA692_270	2	1	126828
	pVA692_270	1	126828	128982
	pVA692_270	3	128982	270548
	pVA765_4_B	4	1	2070
	pVA765_4_B	-1	2070	4224
pVA692_270~pVA791_270	pVA692_270	1	1	270548
	pVA791_270	1	1	270546
pVA692_2~pVA754_9	pVA692_2	2	1	443
	pVA692_2	1	443	2396
	pVA754_9	-1	1	1955
	pVA754_9	3	1955	9190
pVA692_45~pVA765_0.7	pVA692_45	2	1	38685
	pVA692_45	1	38685	39389
	pVA692_45	3	39389	45074
	pVA765_0.7	1	1	705
pVA692_45~pVA765_45	pVA692_45	1	1	38626
	pVA692_45	2	38626	45074
	pVA765_45	-1	1	38626
	pVA765_45	-2	38626	45074
pVA692_45~pVA767_46	pVA692_45	1	1	43809
	pVA692_45	2	43809	45074
	pVA767_46	3	1	1089
	pVA767_46	2	1089	2354
	pVA767_46	1	2354	46162
pVA692_4~pVA765_4_A	pVA692_4	2	1	589
	pVA692_4	1	589	3078
	pVA692_4	3	3078	4854
	pVA765_4_A	4	1	1393
	pVA765_4_A	-1	1393	3869
	pVA765_4_A	5	3869	4666
pVA692_4~pVA791_4	pVA692_4	3	1	589
	pVA692_4	1	589	2438
	pVA692_4	2	2438	3078
	pVA692_4	4	3078	4854
	pVA791_4	-1	1	1839
	pVA791_4	5	1839	4028
	pVA791_4	-2	4028	4666
pVA754_184~pVA765_0.7	pVA754_184	2	1	101029
	pVA754_184	1	101029	101733
	pVA754_184	3	101733	184491
	pVA765_0.7	1	1	705
pVA754_184~pVA765_1_B	pVA754_184	2	1	82651
	pVA754_184	1	82651	83785
	pVA754_184	3	83785	184491
	pVA765_1_B	-1	1	1135
